driverId,stop,lap,time,duration,year,round
gasly,1,9,18:18:56,25.885,2023,1
norris,1,10,18:20:31,32.766,2023,1
tsunoda,1,10,18:20:34,25.267,2023,1
bottas,1,11,18:22:06,25.399,2023,1
albon,1,11,18:22:12,25.054,2023,1
hulkenberg,1,11,18:22:21,26.075,2023,1
de_vries,1,11,18:22:21,25.018,2023,1
hamilton,1,12,18:23:40,24.682,2023,1
ocon,1,12,18:23:50,24.966,2023,1
sargeant,1,12,18:23:55,25.600,2023,1
zhou,1,12,18:24:01,25.787,2023,1
leclerc,1,13,18:25:06,24.345,2023,1
sainz,1,13,18:25:17,24.500,2023,1
russell,1,13,18:25:24,27.062,2023,1
max_verstappen,1,14,18:26:35,24.289,2023,1
alonso,1,14,18:27:02,25.800,2023,1
stroll,1,15,18:28:45,25.449,2023,1
kevin_magnussen,1,15,18:29:10,25.439,2023,1
ocon,2,15,18:29:11,41.462,2023,1
perez,1,17,18:31:42,24.264,2023,1
norris,2,17,18:32:38,33.661,2023,1
gasly,2,25,18:45:48,24.879,2023,1
albon,2,26,18:47:25,24.920,2023,1
tsunoda,2,26,18:47:26,24.372,2023,1
hulkenberg,2,26,18:47:41,37.769,2023,1
de_vries,2,27,18:49:16,25.234,2023,1
norris,3,27,18:49:35,33.467,2023,1
bottas,2,29,18:52:16,25.643,2023,1
kevin_magnussen,2,29,18:52:40,25.344,2023,1
hamilton,2,30,18:53:36,24.690,2023,1
piastri,1,1,20:05:36,31.534,2023,2
norris,1,2,20:07:18,29.444,2023,2
kevin_magnussen,1,8,20:16:55,20.870,2023,2
bottas,1,9,20:18:38,21.505,2023,2
zhou,1,11,20:21:41,21.703,2023,2
hulkenberg,1,11,20:21:43,21.567,2023,2
stroll,1,13,20:24:39,21.150,2023,2
gasly,1,14,20:26:26,20.719,2023,2
sainz,1,15,20:27:49,20.760,2023,2
leclerc,1,16,20:29:29,20.026,2023,2
ocon,1,16,20:29:34,20.762,2023,2
tsunoda,1,17,20:31:24,21.414,2023,2
albon,1,17,20:31:32,21.397,2023,2
de_vries,1,17,20:31:39,21.116,2023,2
bottas,2,17,20:32:08,22.191,2023,2
perez,1,18,20:32:46,20.715,2023,2
alonso,1,18,20:32:54,26.879,2023,2
russell,1,18,20:33:05,20.828,2023,2
max_verstappen,1,18,20:33:15,20.824,2023,2
hamilton,1,18,20:33:24,21.102,2023,2
sargeant,1,18,20:33:55,21.064,2023,2
zhou,2,18,20:34:06,21.282,2023,2
norris,2,19,20:36:25,21.352,2023,2
bottas,3,35,21:02:57,21.808,2023,2
ocon,1,1,15:05:04,18.056,2023,3
zhou,1,1,15:05:11,18.951,2023,3
sargeant,1,1,15:05:13,18.382,2023,3
perez,1,1,15:05:15,17.657,2023,3
bottas,1,1,15:05:16,21.659,2023,3
sargeant,2,2,15:07:25,19.158,2023,3
perez,2,2,15:07:26,17.814,2023,3
russell,1,7,15:15:01,19.146,2023,3
sainz,1,7,15:15:05,18.319,2023,3
kevin_magnussen,1,7,15:15:21,20.789,2023,3
hamilton,1,8,15:17:43,15:25.181,2023,3
max_verstappen,1,8,15:17:45,15:25.112,2023,3
alonso,1,8,15:17:48,15:26.940,2023,3
stroll,1,8,15:17:51,15:27.222,2023,3
gasly,1,8,15:17:53,15:26.996,2023,3
hulkenberg,1,8,15:17:55,15:26.326,2023,3
russell,2,8,15:17:59,15:30.824,2023,3
tsunoda,1,8,15:18:02,15:31.820,2023,3
norris,1,8,15:18:04,15:34.763,2023,3
piastri,1,8,15:18:06,15:34.541,2023,3
sainz,2,8,15:18:08,15:37.024,2023,3
de_vries,1,8,15:18:11,15:37.874,2023,3
ocon,2,8,15:18:14,15:37.929,2023,3
perez,3,8,15:18:16,15:37.512,2023,3
zhou,2,8,15:18:19,15:37.849,2023,3
bottas,2,8,15:18:21,15:37.594,2023,3
sargeant,3,8,15:18:23,15:38.017,2023,3
kevin_magnussen,2,8,15:18:27,15:40.228,2023,3
sargeant,4,36,16:15:29,19.018,2023,3
de_vries,2,45,16:28:14,18.080,2023,3
gasly,1,5,15:13:22,20.235,2023,4
bottas,1,6,15:15:14,20.967,2023,4
albon,1,7,15:16:57,21.103,2023,4
tsunoda,1,8,15:18:43,20.497,2023,4
piastri,1,8,15:18:44,20.902,2023,4
sargeant,1,8,15:18:50,21.015,2023,4
hamilton,1,9,15:20:23,20.324,2023,4
norris,1,9,15:20:27,20.346,2023,4
