position,driver_number,date,session_key,meeting_key
2,1,2023-03-04T14:45:08.672000+00:00,7768,1141
18,2,2023-03-04T14:45:08.672000+00:00,7768,1141
13,4,2023-03-04T14:45:08.672000+00:00,7768,1141
10,10,2023-03-04T14:45:08.672000+00:00,7768,1141
3,11,2023-03-04T14:45:08.672000+00:00,7768,1141
1,14,2023-03-04T14:45:08.672000+00:00,7768,1141
5,16,2023-03-04T14:45:08.672000+00:00,7768,1141
7,18,2023-03-04T14:45:08.672000+00:00,7768,1141
14,20,2023-03-04T14:45:08.672000+00:00,7768,1141
20,21,2023-03-04T14:45:08.672000+00:00,7768,1141
16,22,2023-03-04T14:45:08.672000+00:00,7768,1141
19,23,2023-03-04T14:45:08.672000+00:00,7768,1141
12,24,2023-03-04T14:45:08.672000+00:00,7768,1141
15,27,2023-03-04T14:45:08.672000+00:00,7768,1141
11,31,2023-03-04T14:45:08.672000+00:00,7768,1141
4,44,2023-03-04T14:45:08.672000+00:00,7768,1141
8,55,2023-03-04T14:45:08.672000+00:00,7768,1141
6,63,2023-03-04T14:45:08.672000+00:00,7768,1141
17,77,2023-03-04T14:45:08.672000+00:00,7768,1141
9,81,2023-03-04T14:45:08.672000+00:00,7768,1141
3,1,2023-03-04T15:00:03.984000+00:00,7768,1141
14,4,2023-03-04T15:00:03.984000+00:00,7768,1141
11,10,2023-03-04T15:00:03.984000+00:00,7768,1141
4,11,2023-03-04T15:00:03.984000+00:00,7768,1141
2,14,2023-03-04T15:00:03.984000+00:00,7768,1141
6,16,2023-03-04T15:00:03.984000+00:00,7768,1141
8,18,2023-03-04T15:00:03.984000+00:00,7768,1141
15,20,2023-03-04T15:00:03.984000+00:00,7768,1141
1,22,2023-03-04T15:00:03.984000+00:00,7768,1141
13,24,2023-03-04T15:00:03.984000+00:00,7768,1141
16,27,2023-03-04T15:00:03.984000+00:00,7768,1141
12,31,2023-03-04T15:00:03.984000+00:00,7768,1141
5,44,2023-03-04T15:00:03.984000+00:00,7768,1141
9,55,2023-03-04T15:00:03.984000+00:00,7768,1141
7,63,2023-03-04T15:00:03.984000+00:00,7768,1141
10,81,2023-03-04T15:00:03.984000+00:00,7768,1141
4,1,2023-03-04T15:00:05.921000+00:00,7768,1141
19,2,2023-03-04T15:00:05.921000+00:00,7768,1141
15,4,2023-03-04T15:00:05.921000+00:00,7768,1141
12,10,2023-03-04T15:00:05.921000+00:00,7768,1141
5,11,2023-03-04T15:00:05.921000+00:00,7768,1141
3,14,2023-03-04T15:00:05.921000+00:00,7768,1141
7,16,2023-03-04T15:00:05.921000+00:00,7768,1141
9,18,2023-03-04T15:00:05.921000+00:00,7768,1141
16,20,2023-03-04T15:00:05.921000+00:00,7768,1141
2,21,2023-03-04T15:00:05.921000+00:00,7768,1141
20,23,2023-03-04T15:00:05.921000+00:00,7768,1141
14,24,2023-03-04T15:00:05.921000+00:00,7768,1141
17,27,2023-03-04T15:00:05.921000+00:00,7768,1141
13,31,2023-03-04T15:00:05.921000+00:00,7768,1141
6,44,2023-03-04T15:00:05.921000+00:00,7768,1141
10,55,2023-03-04T15:00:05.921000+00:00,7768,1141
8,63,2023-03-04T15:00:05.921000+00:00,7768,1141
18,77,2023-03-04T15:00:05.921000+00:00,7768,1141
